# Retired NCBI GeneIDs for taxid 29159, from NCBI gene_history.
# Built by src/mappings/build_crosswalk.py v1.0.0 on 2026-08-27
# Studies analysed against an older annotation report these identifiers; each row
# records the authoritative NCBI replacement. Resolution through this table is
# labelled 'inferred', not 'exact', because it crosses an annotation version.
# 13601 further GeneIDs were discontinued with NO replacement and are
# deliberately absent, so that they stay 'unresolved'.
discontinued_gene_id	current_gene_id	discontinued_symbol	discontinue_date
105320540	105342876	LOC105320540	20200521
105320552	109619902	LOC105320552	20200521
105320555	105334235	LOC105320555	20240702
105320557	105342273	LOC105320557	20200521
105320562	105332229	LOC105320562	20200521
105320566	105330225	LOC105320566	20200521
105320571	105342898	LOC105320571	20200521
105320576	105320581	LOC105320576	20200521
105320582	117681556	LOC105320582	20240702
105320591	105320590	LOC105320591	20240702
105320600	117692793	LOC105320600	20240702
105320605	105328316	LOC105320605	20200521
105320610	105344130	LOC105320610	20240702
105320611	117680659	LOC105320611	20240702
105320648	105342939	LOC105320648	20200521
105320663	105341717	LOC105320663	20200521
105320670	117686236	LOC105320670	20240704
105320674	105320656	LOC105320674	20200521
105320692	105325453	LOC105320692	20200521
105320696	105336094	LOC105320696	20200521
105320697	109617686	LOC105320697	20200521
105320699	105348808	LOC105320699	20240702
105320700	105348384	LOC105320700	20240702
105320708	105342902	LOC105320708	20200521
105320709	105320732	LOC105320709	20200521
105320718	105341815	LOC105320718	20200521
105320729	105325909	LOC105320729	20200521
105320733	105345159	LOC105320733	20200521
105320734	105319344	LOC105320734	20200521
105320747	105327090	LOC105320747	20200521
105320759	105345737	LOC105320759	20200521
105320793	109617694	LOC105320793	20200521
105320797	117691466	LOC105320797	20240702
105320799	105320809	LOC105320799	20170203
105320802	105320801	LOC105320802	20240702
105320804	105320776	LOC105320804	20200521
105320805	105320785	LOC105320805	20170203
105320811	109620298	LOC105320811	20240702
105320817	105321141	LOC105320817	20170203
105320848	105320862	LOC105320848	20200521
105320858	105337540	LOC105320858	20200521
105320859	105320844	LOC105320859	20200521
105320861	105341080	LOC105320861	20200521
105320880	105337780	LOC105320880	20200521
105320884	105326755	LOC105320884	20240702
105320886	105331808	LOC105320886	20200521
105320903	105322530	LOC105320903	20200521
105320905	105327130	LOC105320905	20240704
105320928	105334458	LOC105320928	20200521
105320946	105329094	LOC105320946	20200521
105320948	105343840	LOC105320948	20240702
105320950	117689696	LOC105320950	20240702
105320955	105319069	LOC105320955	20200521
105320958	109618956	LOC105320958	20200521
105320972	109619925	LOC105320972	20200521
105320973	105324119	LOC105320973	20200521
105320975	105337474	LOC105320975	20240702
105320976	105331574	LOC105320976	20200521
105320982	105324339	LOC105320982	20200521
105320990	105335245	LOC105320990	20200521
105320991	105328756	LOC105320991	20200521
105321033	105331551	LOC105321033	20200521
105321036	105331799	LOC105321036	20200521
105321043	105321044	LOC105321043	20240702
105321055	105331694	LOC105321055	20200521
105321062	105321063	LOC105321062	20240702
105321068	105334797	LOC105321068	20200521
105321085	105321924	LOC105321085	20200521
105321100	117692600	LOC105321100	20240702
105321124	105319446	LOC105321124	20240702
105321132	105321141	LOC105321132	20170203
105321144	117693103	LOC105321144	20240702
105321155	105319069	LOC105321155	20200521
105321166	109617754	LOC105321166	20200521
105321168	105321354	LOC105321168	20200521
105321171	105338195	LOC105321171	20200521
105321177	105321354	LOC105321177	20200521
105321181	105333936	LOC105321181	20200521
105321191	105324238	LOC105321191	20200521
105321192	117684472	LOC105321192	20240704
105321206	105321207	LOC105321206	20200521
105321213	105327320	LOC105321213	20200521
105321220	105321218	LOC105321220	20200521
105321227	105321226	LOC105321227	20200521
105321238	105321240	LOC105321238	20200521
105321239	105321236	LOC105321239	20200521
105321244	105321245	LOC105321244	20170203
105321247	105321246	LOC105321247	20200521
105321254	109617073	LOC105321254	20200521
105321264	105324459	LOC105321264	20200521
105321265	105324459	LOC105321265	20170203
105321275	105345661	LOC105321275	20240702
105321279	105321290	LOC105321279	20200521
105321285	105344183	LOC105321285	20200521
105321288	105335012	LOC105321288	20200521
105321294	105340241	LOC105321294	20240704
105321296	105321297	LOC105321296	20200521
105321314	105330927	LOC105321314	20200521
105321319	105324291	LOC105321319	20200521
105321323	105321326	LOC105321323	20170203
105321328	105337506	LOC105321328	20200521
105321330	105318301	LOC105321330	20200521
105321331	105318310	LOC105321331	20200521
105321332	105349158	LOC105321332	20200521
105321355	109620248	LOC105321355	20200521
105321359	105348491	LOC105321359	20240702
105321360	117684917	LOC105321360	20240702
105321362	105321361	LOC105321362	20170203
105321364	105319673	LOC105321364	20200521
105321366	105320668	LOC105321366	20200521
